cd_clean,female,age_bin,educ_bin,race_bin,population
AK-00,0,18-29,no_college,white,14695
AK-00,0,18-29,no_college,black,768
AK-00,0,18-29,no_college,hispanic,1881
AK-00,0,18-29,no_college,other,7838
AK-00,0,18-29,some_college,white,14083
AK-00,0,18-29,some_college,black,736
AK-00,0,18-29,some_college,hispanic,1803
AK-00,0,18-29,some_college,other,7512
AK-00,0,18-29,college_plus,white,12777
AK-00,0,18-29,college_plus,black,667
AK-00,0,18-29,college_plus,hispanic,1636
AK-00,0,18-29,college_plus,other,6816
AK-00,0,30-44,no_college,white,17010
AK-00,0,30-44,no_college,black,889
AK-00,0,30-44,no_college,hispanic,2177
AK-00,0,30-44,no_college,other,9074
AK-00,0,30-44,some_college,white,16302
AK-00,0,30-44,some_college,black,852
AK-00,0,30-44,some_college,hispanic,2087
AK-00,0,30-44,some_college,other,8696
AK-00,0,30-44,college_plus,white,14791
AK-00,0,30-44,college_plus,black,773
AK-00,0,30-44,college_plus,hispanic,1893
AK-00,0,30-44,college_plus,other,7890
AK-00,0,45-64,no_college,white,19406
AK-00,0,45-64,no_college,black,1014
AK-00,0,45-64,no_college,hispanic,2484
AK-00,0,45-64,no_college,other,10351
AK-00,0,45-64,some_college,white,18598
AK-00,0,45-64,some_college,black,972
AK-00,0,45-64,some_college,hispanic,2381
AK-00,0,45-64,some_college,other,9920
AK-00,0,45-64,college_plus,white,16874
AK-00,0,45-64,college_plus,black,881
AK-00,0,45-64,college_plus,hispanic,2160
AK-00,0,45-64,college_plus,other,9001
AK-00,0,65+,no_college,white,9652
AK-00,0,65+,no_college,black,504
AK-00,0,65+,no_college,hispanic,1236
AK-00,0,65+,no_college,other,5149
AK-00,0,65+,some_college,white,9250
AK-00,0,65+,some_college,black,483
AK-00,0,65+,some_college,hispanic,1184
AK-00,0,65+,some_college,other,4934
AK-00,0,65+,college_plus,white,8393
AK-00,0,65+,college_plus,black,438
AK-00,0,65+,college_plus,hispanic,1074
AK-00,0,65+,college_plus,other,4477
AK-00,1,18-29,no_college,white,11553
AK-00,1,18-29,no_college,black,604
AK-00,1,18-29,no_college,hispanic,1479
AK-00,1,18-29,no_college,other,6163
AK-00,1,18-29,some_college,white,11072
AK-00,1,18-29,some_college,black,578
AK-00,1,18-29,some_college,hispanic,1417
AK-00,1,18-29,some_college,other,5906
AK-00,1,18-29,college_plus,white,10046
AK-00,1,18-29,college_plus,black,525
AK-00,1,18-29,college_plus,hispanic,1286
AK-00,1,18-29,college_plus,other,5359
AK-00,1,30-44,no_college,white,15309
AK-00,1,30-44,no_college,black,800
AK-00,1,30-44,no_college,hispanic,1960
AK-00,1,30-44,no_college,other,8166
AK-00,1,30-44,some_college,white,14672
AK-00,1,30-44,some_college,black,766
AK-00,1,30-44,some_college,hispanic,1878
AK-00,1,30-44,some_college,other,7826
AK-00,1,30-44,college_plus,white,13312
AK-00,1,30-44,college_plus,black,695
AK-00,1,30-44,college_plus,hispanic,1704
AK-00,1,30-44,college_plus,other,7101
AK-00,1,45-64,no_college,white,17222
AK-00,1,45-64,no_college,black,900
AK-00,1,45-64,no_college,hispanic,2205
AK-00,1,45-64,no_college,other,9187
AK-00,1,45-64,some_college,white,16505
AK-00,1,45-64,some_college,black,862
AK-00,1,45-64,some_college,hispanic,2113
AK-00,1,45-64,some_college,other,8804
AK-00,1,45-64,college_plus,white,14975
AK-00,1,45-64,college_plus,black,782
AK-00,1,45-64,college_plus,hispanic,1917
AK-00,1,45-64,college_plus,other,7988
AK-00,1,65+,no_college,white,9778
AK-00,1,65+,no_college,black,511
AK-00,1,65+,no_college,hispanic,1252
AK-00,1,65+,no_college,other,5216
AK-00,1,65+,some_college,white,9371
AK-00,1,65+,some_college,black,490
AK-00,1,65+,some_college,hispanic,1200
AK-00,1,65+,some_college,other,4998
AK-00,1,65+,college_plus,white,8502
AK-00,1,65+,college_plus,black,444
AK-00,1,65+,college_plus,hispanic,1088
AK-00,1,65+,college_plus,other,4535
AL-01,0,18-29,no_college,white,15243
AL-01,0,18-29,no_college,black,6267
AL-01,0,18-29,no_college,hispanic,819
AL-01,0,18-29,no_college,other,1203
AL-01,0,18-29,some_college,white,10356
AL-01,0,18-29,some_college,black,4258
AL-01,0,18-29,some_college,hispanic,556
AL-01,0,18-29,some_college,other,818
AL-01,0,18-29,college_plus,white,8959
AL-01,0,18-29,college_plus,black,3684
AL-01,0,18-29,college_plus,hispanic,481
AL-01,0,18-29,college_plus,other,707
AL-01,0,30-44,no_college,white,18337
AL-01,0,30-44,no_college,black,7540
AL-01,0,30-44,no_college,hispanic,985
AL-01,0,30-44,no_college,other,1448
AL-01,0,30-44,some_college,white,12458
AL-01,0,30-44,some_college,black,5122
AL-01,0,30-44,some_college,hispanic,669
AL-01,0,30-44,some_college,other,984
AL-01,0,30-44,college_plus,white,10778
AL-01,0,30-44,college_plus,black,4431
AL-01,0,30-44,college_plus,hispanic,579
AL-01,0,30-44,college_plus,other,851
AL-01,0,45-64,no_college,white,25536
AL-01,0,45-64,no_college,black,10499
AL-01,0,45-64,no_college,hispanic,1372
AL-01,0,45-64,no_college,other,2016
AL-01,0,45-64,some_college,white,17349
AL-01,0,45-64,some_college,black,7133
AL-01,0,45-64,some_college,hispanic,932
AL-01,0,45-64,some_college,other,1370
AL-01,0,45-64,college_plus,white,15009
AL-01,0,45-64,college_plus,black,6171
AL-01,0,45-64,college_plus,hispanic,806
AL-01,0,45-64,college_plus,other,1185
AL-01,0,65+,no_college,white,16834
AL-01,0,65+,no_college,black,6921
AL-01,0,65+,no_college,hispanic,904
AL-01,0,65+,no_college,other,1329
AL-01,0,65+,some_college,white,11437
AL-01,0,65+,some_college,black,4703
AL-01,0,65+,some_college,hispanic,615
AL-01,0,65+,some_college,other,903
AL-01,0,65+,college_plus,white,9894
AL-01,0,65+,college_plus,black,4068
AL-01,0,65+,college_plus,hispanic,532
AL-01,0,65+,college_plus,other,781
AL-01,1,18-29,no_college,white,15299
AL-01,1,18-29,no_college,black,6290
AL-01,1,18-29,no_college,hispanic,822
AL-01,1,18-29,no_college,other,1208
AL-01,1,18-29,some_college,white,10394
AL-01,1,18-29,some_college,black,4274
AL-01,1,18-29,some_college,hispanic,558
AL-01,1,18-29,some_college,other,821
AL-01,1,18-29,college_plus,white,8992
AL-01,1,18-29,college_plus,black,3697
AL-01,1,18-29,college_plus,hispanic,483
AL-01,1,18-29,college_plus,other,710
AL-01,1,30-44,no_college,white,19480
AL-01,1,30-44,no_college,black,8010
AL-01,1,30-44,no_college,hispanic,1047
AL-01,1,30-44,no_college,other,1538
AL-01,1,30-44,some_college,white,13235
AL-01,1,30-44,some_college,black,5442
AL-01,1,30-44,some_college,hispanic,711
AL-01,1,30-44,some_college,other,1045
AL-01,1,30-44,college_plus,white,11450
AL-01,1,30-44,college_plus,black,4708
AL-01,1,30-44,college_plus,hispanic,615
AL-01,1,30-44,college_plus,other,904
AL-01,1,45-64,no_college,white,27599
AL-01,1,45-64,no_college,black,11348
AL-01,1,45-64,no_college,hispanic,1483
AL-01,1,45-64,no_college,other,2179
AL-01,1,45-64,some_college,white,18751
AL-01,1,45-64,some_college,black,7710
AL-01,1,45-64,some_college,hispanic,1008
AL-01,1,45-64,some_college,other,1480
AL-01,1,45-64,college_plus,white,16222
AL-01,1,45-64,college_plus,black,6670
AL-01,1,45-64,college_plus,hispanic,872
AL-01,1,45-64,college_plus,other,1281
AL-01,1,65+,no_college,white,20992
AL-01,1,65+,no_college,black,8631
