cd_clean,support_pct,margin_of_error,n_cells,question,label,topic
AK-00,84.4,5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AL-01,90.6,4.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AL-02,90.5,4.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AL-03,88.9,5.1,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AL-04,87.2,5.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AL-05,88.3,5.3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AL-06,88.4,5.4,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AL-07,90.5,4.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AR-01,85.9,6.3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AR-02,88.4,4.3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AR-03,83.9,6.9,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AR-04,87.6,5.4,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AZ-01,84.7,6.5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AZ-02,85.8,6.2,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AZ-03,83.3,6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AZ-04,80.8,7.2,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AZ-05,86.3,5.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AZ-06,81.5,7.4,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AZ-07,88.6,4.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AZ-08,86.4,5.7,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
AZ-09,85.9,5.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-01,86.6,5.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-02,89.6,4.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-03,89.1,4.9,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-04,89.8,3.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-05,90,4.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-06,90.9,4.4,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-07,90.4,4.7,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-08,86.3,6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-09,89.4,5.3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-10,88.5,5.7,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-11,90.6,4.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-12,92.4,3.9,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-13,89.8,4.9,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-14,91.2,4.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-15,89.8,5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-16,90.1,4.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-17,89,5.3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-18,90.3,4.9,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-19,91.1,4.4,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-20,88.3,5.5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-21,85.2,6.7,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-22,86.4,6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-23,86.6,6.1,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-24,90.3,4.7,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-25,88.3,5.5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-26,87,6.1,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-27,90.2,4.7,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-28,90.3,4.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-29,90.2,4.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-30,92.3,3.9,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-31,89.9,4.9,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-32,89.4,5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-33,90.7,4.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-34,89.5,5.1,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-35,86.5,6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-36,89.8,4.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-37,90.6,4.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-38,87.9,5.7,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-39,89.7,5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-40,89.8,5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-41,90.2,4.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-42,88.3,5.5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-43,89.9,4.9,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-44,89.1,5.4,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-45,89.3,5.2,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-46,86,6.2,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-47,90,4.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-48,90.2,4.7,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-49,91.8,4.1,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-50,87.5,5.3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-51,89.1,5.1,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CA-52,87.7,5.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CO-01,91,3.2,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CO-02,89.6,3.5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CO-03,82.9,5.3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CO-04,83.2,5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CO-05,85.3,3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CO-06,89,3.5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CO-07,85.8,4.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CO-08,86.2,3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CT-01,92,3.9,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CT-02,92.1,3.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CT-03,92.9,3.6,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CT-04,90.3,4.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CT-05,90.2,4.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
CT-ZZ,90.9,3.4,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
DC-00,92.7,3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
DE-00,90.4,3.5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
FL-01,89.2,5.4,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
FL-02,88,5.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
FL-03,89.6,5.2,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
FL-04,89.5,5.3,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
FL-05,91.2,3.8,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
FL-06,90.3,5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
FL-07,89.4,5.4,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
FL-08,86.2,6.5,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
FL-09,90.7,4.7,96,guns_bgchecks,Universal background checks for gun purchases,Gun Control
